team,orb_rate_off_gravity,orb_rate_def_gravity,orb_rate_off_avg,orb_rate_def_avg
Mercyhurst,1.1329829270087344,-1.0698813080943823,23.709685586678795,27.29721239542734
Merrimack,1.21601156526012,1.0774226276681622,22.749891658744634,38.73877585145868
Miami FL,1.1307936163881362,1.2650751003086196,35.10138093096762,22.943910480724444
Miami OH,1.2290762961243837,0.36983417859291007,22.884460468120814,24.968312882182353
Michigan,1.3772637103379328,1.8434314136260324,34.91669928667846,24.94379785885475
Michigan St.,1.206306808686891,1.2731962755734219,36.93419326266186,19.917360742808217
Middle Tennessee,-0.07430664056772718,1.363565144296712,27.946072270230953,26.183507690599047
Milwaukee,0.3829751514105303,0.5229528794572808,30.67116281861914,26.604688886719646
Minnesota,0.6251479298090054,1.6050171866828395,24.622627728220227,26.177993947537335
Mississippi,0.21290126846074495,-0.5579596622398595,26.36421643864031,30.16751734058673
Mississippi St.,-0.4765498793355284,-2.8263760174267096,28.134777716230566,28.798984971439584
Mississippi Valley St.,1.7512281860646688,1.30973745663095,24.276485359293588,34.214005373008426
Missouri,1.2328920898961966,-1.4797008235046847,31.902368949810445,29.04145430829894
Missouri St.,-0.12135542790961475,0.38760182626021694,27.922199637464598,29.573740849846107
Monmouth,0.4477299867797498,0.8127148795637981,29.168549672903527,31.37415536968334
Montana,0.9354669455568514,-0.1474815902619805,18.349948313572327,27.549145642941458
Montana St.,0.7539920316644018,-0.10257476377317219,24.710057578953016,26.510880526621197
Morehead St.,0.7502193103248729,1.041188062366522,34.41009994540193,33.003121041311296
Morgan St.,2.2509834445815953,1.4330607159307307,26.989480874295005,32.22246590543272
Mount St. Mary's,0.2674110994656187,0.011209170283736036,31.295200706886373,26.62400618657221
Murray St.,0.7754553696635923,0.14600992033864021,32.44916481159524,28.325338985077657
N.C. State,-1.138772869363331,-1.4264572949758796,27.418341497936048,28.968102642145585
NJIT,1.0253681699733028,3.4057203591762786,23.821125723430015,29.194760880061754
Navy,0.4931318986279713,-0.27377082442591233,30.688957819582125,25.120947724277745
Nebraska,0.46123776975820596,1.575619041449119,25.109292290517,24.923938638533027
Nebraska Omaha,1.0858527874594124,0.36915710705664295,22.51871461984085,26.45650938561457
Nevada,1.6467182681858972,1.4620825612682813,30.51359353363441,26.176410977136847
New Hampshire,0.992891757126064,0.06898865958516937,23.60914844725097,24.072338184977486
New Haven,1.0391434029833775,0.5940312871481961,18.784359349794208,25.457524026763785
New Mexico,0.6112355406385027,1.3923119984798225,28.416485858049843,26.172535375456764
New Mexico St.,1.1992685336808602,0.15195151639316226,31.019666631858062,26.33143708199834
New Orleans,0.9095688763246267,0.9598016476849036,33.836029465397964,31.392150587989377
Niagara,1.2740208252476388,1.4987388759472065,21.2955632538284,30.164288194093924
Nicholls St.,1.1449948481404535,1.0408712322957465,26.64901717534984,32.127317595265595
Norfolk St.,-1.538015038133967,1.1405213354483301,29.00852668404691,30.69630904155181
North Alabama,-0.13662752294982533,2.320943568986587,28.38396912294258,29.610105539862023
North Carolina,2.3104122926668205,1.6366073120679052,29.213754320565716,24.774394695775253
North Carolina A&T,0.09061935229071687,1.0136877605461974,29.378103672852568,26.547132777881405
North Carolina Central,1.6215335390411447,1.013028697351392,26.2773426648689,37.52665442700939
North Dakota,0.9813194551904364,2.0542431126849645,25.236554885017444,30.59321711526725
North Dakota St.,0.5759027080528171,0.3792100709564078,31.45568490084536,23.564810909098515
North Florida,0.9044546199566813,0.9643783371121275,22.72165899800474,35.98659164309881
North Texas,1.0085591046551383,0.25983319573671243,33.2027986156432,29.506822770181934
Northeastern,0.9705413881278309,0.8613958169809782,24.651330825855776,28.67615734581956
Northern Arizona,0.8795706935364379,1.2947456575017084,21.558554496930576,31.63981083535685
Northern Colorado,0.9780800444924957,0.5615925062369644,23.699039520657912,21.60744794701109
Northern Illinois,1.4186192381129172,1.6293214191064342,27.4276490856294,28.867183045887476
Northern Iowa,0.9608051562411126,0.9291048752783914,20.05498631080143,23.78529246072991
Northern Kentucky,0.16562784692292337,1.6422709518248884,30.49191742191495,29.667474557908218
Northwestern,0.17889762936434603,0.5248400169246961,25.813102308217942,32.04175195532694
Northwestern St.,1.1023218939233472,0.8331767161139272,23.425931956812953,31.243943757574364
Notre Dame,1.9567713827842539,1.2691190033047828,29.300506249407086,23.357813805070812
Oakland,-0.08848409472958439,1.0708402416307845,28.344265536013825,32.25515560534036
Ohio,0.8405566451516785,1.3210765445883572,26.702758854558535,30.97612043969999
Ohio St.,-0.36683007604229007,-1.0040209984742903,28.206344473886922,28.466171265634898
Oklahoma,1.219684096097778,0.017849338074236103,31.789499414510367,30.426598321866692
