team,three_pt_rate_off_gravity,three_pt_rate_def_gravity,three_pt_rate_off_avg,three_pt_rate_def_avg
Indiana St.,0.8923617570693751,0.9250463717631183,45.36060686119221,34.48069741135617
Iona,0.9551371669810892,0.391491141756262,46.01521171513176,40.83383335812452
Iowa,0.027822801461254862,1.1535266798462676,41.397774897874825,38.79399769945235
Iowa St.,0.09135163120407576,1.3093324042923007,38.773089194479965,43.02637521313141
Jackson St.,0.830042312644004,3.091648503335602,43.24826505937228,39.90044953646802
Jacksonville,1.4840128982328356,1.4020790950563522,37.17394592629932,35.1100917887319
Jacksonville St.,2.4597823133222714,0.8873227167551017,38.26368942797234,42.7969412119276
James Madison,0.5251640886962203,-0.07609235686618747,42.43068320432422,37.886582973419664
Kansas,1.0599837118672504,1.262271897021017,35.83634960243783,42.348452605564226
Kansas St.,0.36122673928773325,0.6019459982821108,40.86166456186769,38.70442538164407
Kennesaw St.,0.7464654542055514,1.526585030291396,43.6747288406292,38.157481661398734
Kent St.,0.8708541611837042,1.0747280434584687,45.664708250314575,42.93143208317325
Kentucky,-0.07498112461752339,0.38465267885107945,39.418622813751035,40.416103434119286
LIU,1.0743941744506476,0.8370037437145263,29.151336733866753,33.35194104164315
LSU,0.9712939676805085,0.543409501935078,34.738502054750406,38.18755473167244
La Salle,1.000970945425088,0.4407003090855149,31.70732808671486,42.70248683046894
Lafayette,1.0292712434056122,2.0695882509984895,39.89587081773471,37.99208746872445
Lamar,1.0338837876113616,0.5453099970022687,33.985222291418175,37.47828761783805
Le Moyne,1.0494020257624268,2.1085812778297988,40.98789609685164,39.803667199577106
Lehigh,0.46659742110302155,1.0590523151799263,38.26585108819568,32.162566251219516
Liberty,0.7694114214818812,0.5942085222206834,48.55150024034181,37.463595162801354
Lindenwood,0.8381930582712621,0.7653894371168839,31.0424237862365,32.79466792607159
Lipscomb,0.8897172287396722,-1.0318447702298688,48.10324253656663,40.12015477480622
Little Rock,0.84595819630081,2.8182920942836964,31.03254040189575,40.45885205256682
Long Beach St.,1.2251210228678917,0.8997429549563096,34.82435484308243,35.25724836606972
Longwood,0.7529548263232496,1.1897449258003785,34.73878221858939,42.566209231364354
Louisiana,-1.0974286216714717,0.6614046838842523,40.4598876392365,35.987927005315896
Louisiana Monroe,0.23045724695899003,1.782865990359321,41.71272094357341,42.21081372518064
Louisiana Tech,1.0476914787893519,0.8980923307957385,33.948012765911926,47.106960468828234
Louisville,0.9476229012124859,-0.0017667566927232635,53.038499578201964,39.52958099004795
Loyola Chicago,0.9829954381497531,0.6277222612804039,47.29852734037569,43.69057231422337
Loyola MD,1.0511972533827443,0.7501248574130518,47.26343776945995,39.349253210907804
Loyola Marymount,0.9211994194841532,1.3925694850211037,40.496505306684504,36.279633171614755
Maine,0.41628166960555446,1.3679313325102043,37.04932486856767,36.98487442378505
Manhattan,0.7544432547079863,0.24064661687202724,37.220384165558926,38.240529338928084
Marist,0.7899482721696521,1.2605036321268006,34.10063638727007,36.711662904773796
Marquette,1.6883336656963985,-0.29580942497547713,41.7099658778641,39.667093390360364
Marshall,0.880673264930157,-0.12561468524836267,44.222861170386615,39.72778020932637
Maryland,0.8726606144573235,0.8232976234363026,47.07467271739957,42.95471980203698
Maryland Eastern Shore,1.1079204485139162,-0.5413176933769763,33.137540065468166,39.46051586618655
Massachusetts,1.0628708051117324,1.0081638569698876,36.10572191491449,42.397965946462165
