team,tempo,Efficiency (Off),Efficiency (Def),eFG% (Off),eFG% (Def),3pt Rate (Off),3pt Rate (Def),FT Rate (Off),FT Rate (Def),TO Rate (Off),TO Rate (Def),ORB Rate (Off),ORB Rate (Def)
Georgia,0.8910905985448903,2.2906050175161545,0.9951949582749854,1.490302011638129,0.9441969553521443,0.8078458577338249,0.2820549444568845,0.3118251549824878,1.1685634817689596,0.9533478813645271,0.5213258338274733,1.455628930755294,-0.2047661097091916
BYU,1.0423424199394251,2.497320436654326,1.188256860993386,1.6777984827994976,0.005187677787898434,0.15304056025982427,-0.006480221712650009,0.10183992206900762,1.3709606840521518,1.130346588404352,-0.22337247617426115,1.4250543999436405,1.4956331654723043
N.C. State,1.1242193550607362,2.3144366759482153,0.11901992635789291,1.6338058061392662,0.23963682017245072,0.5817946126685557,-1.3749207179756113,0.2299099579506647,-0.04839899471151424,1.616670805395744,1.0789384995254125,0.2212934626354307,0.3074510070479542
Saint Louis,1.079409535967011,2.0283625047813216,1.5910176996338596,2.79248876978133,2.294925904065168,0.9971571331892064,-0.1466703244091224,-0.21968635449020818,0.025089365556697732,-0.16570841686374393,-0.24972547020799316,0.4048902713379608,1.2708091772192445
SMU,0.6506726605081357,2.1999853145695507,0.12292726783844424,1.7713641262007107,0.16441169742127115,-0.8099301145555592,-1.2169262510437813,-0.5407541439565171,0.8972116384987907,0.5334301478396031,0.11034277695848939,1.4417246238255177,0.046529808595783685
Auburn,0.1863663377340124,2.288100260516404,0.6605257412990445,1.027683349354691,0.09935025343046071,-0.009190851389633119,0.014314011057191203,2.324450200854306,0.01145649844274763,0.6832936338278702,0.048710185345590004,2.050884703603504,0.5327878852113715
San Diego St.,1.3035330419004978,0.8224633803177357,1.9841123142108825,0.7787438393482997,1.6796247165871223,-1.0539876547495575,-2.143785841199061,0.1832646084787296,-0.21854236198535376,-0.052856586510738324,1.6072873104749332,0.15081338578110887,0.35837417145998085
Missouri,-2.417317704565517,1.3667102067969679,0.6452479493700188,1.6137555629222469,0.012587432600296235,-0.4355055758711961,-0.7379097753900092,1.602626930062289,0.31218337670847546,-0.47430134679040814,0.014923579882558819,1.0423539513675106,0.35318175615580355
Texas,-1.686706054832284,2.358965178607229,0.651472898088265,1.476066383926388,0.00014104789751388002,-0.5499213285297656,1.5452149942036009,2.363289722048151,-0.8328590330398673,0.5317043471123587,-1.0025201684222942,1.7504857451164249,2.3154136546816955
Oklahoma,-1.2306309211050952,2.055508179994747,0.37981412886657234,1.4071023156127076,0.015626241046635677,0.7819179871654149,0.0005341477947354192,0.16179717039301467,0.35293821510491885,1.0314807346875503,-0.17044642135439483,0.9992646487979454,-0.012063263311629284
Baylor,0.23376699523395345,2.1593881401050252,0.42558208981151296,1.3392990858873757,0.005814876251173515,-0.02975589616420518,0.7696404416848134,0.07287727672159473,1.0111445356560687,0.04090665514746606,0.02057038842884226,1.9874472715468448,0.25473702580828145
TCU,0.34456478060007306,0.8254843400922046,2.0502408088657753,0.11771199971970911,0.23034186243942026,-0.49202895023429877,-0.0034081774003084206,0.9570462608285933,1.1683548817231724,0.5878808417361433,1.713445561254107,1.1779759381758785,1.1790187520260658
Boise St.,0.8475627427445591,1.4545278650644529,0.4793894734695385,0.5259644230480564,0.2014066133834577,0.47350000565205164,0.4766588262205521,1.2495225331385003,1.0185841147726784,0.04111554816445451,-0.7777573133704974,1.1284191323664805,2.6502294666421515
New Mexico,1.542147760331332,1.3606340942612833,1.401615129141296,0.869639400978306,0.8431410145184186,0.2568001291472727,-2.0708646303830753,0.08457565716603052,0.16386789816571418,0.9775416497520379,0.9672232916211884,0.022694485206453868,0.9283248833618705
