team,ft_rate_off_gravity,ft_rate_def_gravity,ft_rate_off_avg,ft_rate_def_avg
North Alabama,0.3798280417871218,0.5008223660774292,38.561489739232016,30.729013039767846
North Carolina,2.0543682146356144,1.1066216301962026,38.30357499663474,23.557293738303702
North Carolina A&T,0.8343927748720281,0.26103976608915425,43.52372241950392,38.176426787273655
North Carolina Central,-0.15302596996946796,-0.4280983227328262,39.88714637228354,36.9451870566517
North Dakota,1.4220874010276596,1.095767074906869,38.549856879823565,45.08900464607258
North Dakota St.,1.179581965287603,1.099636041884743,31.023982563405767,29.755851221809355
North Florida,1.2642726740851198,0.6024285288527623,29.128637426995695,31.478454984208426
North Texas,1.2674907936078519,0.8592434833695544,39.411180657218395,44.987508573104485
Northeastern,0.9026728161958048,1.0155676905017166,29.81233752103019,43.18225328635756
Northern Arizona,1.3554384905286934,0.6853268287545081,32.26604174647522,33.39872194858784
Northern Colorado,1.0232044894384535,1.0206344222817605,28.0591422210994,39.32358438773058
Northern Illinois,1.092477147936037,0.931919209111231,39.07106096132224,38.67948077370589
Northern Iowa,0.7747291546935611,0.9994012887463856,26.348276299261155,29.638617826189833
Northern Kentucky,-0.6340028972997953,1.6534679675211374,36.50472839466882,38.531774978392576
Northwestern,-2.63673782400414,2.101394079196822,34.87148401721898,35.04312539960473
Northwestern St.,0.12335181198459809,1.7120370943131358,41.10826032232963,37.1012436187029
Notre Dame,-0.6858512116464993,0.27966371369210913,34.70138775710195,36.710764696703826
Oakland,0.5052789475737494,0.7052689382810249,38.73529992701606,25.228054598592117
Ohio,0.8788868437220496,0.9333958573636599,36.95549279260103,38.36319935587814
Ohio St.,2.3952348211034717,1.2422677013381154,38.870202556036716,35.46734703912916
Oklahoma,0.9298074261838789,2.3346539289050856,36.75432521396785,35.07975868174162
Oklahoma St.,1.2854535124441957,1.2147076610580583,40.28330303014614,32.74172345715602
Old Dominion,2.092446783026901,0.948832432966633,35.26437806866159,42.32779732346378
Oral Roberts,0.1031576394114671,1.0057088620775332,35.472544414194175,39.62146265123256
Oregon,1.232107042679896,1.7119016390069512,36.00003571844314,32.573871912855964
Oregon St.,1.1011561089580508,0.2263852726385863,43.841921391532225,35.95384738072309
Pacific,1.0083660946068946,1.4892356624956202,31.361168463916524,37.42625623623107
Penn,1.6413231554562604,0.8254074175674481,36.97400722901546,28.89357720146719
Penn St.,-2.052912127763653,1.2157717614037482,34.530704736705616,28.02768548629261
Pepperdine,1.1588807050561771,0.7931028545422749,34.44205501191118,28.964903755319202
Pittsburgh,0.6821933420566236,1.1847289515397288,30.3244014585908,31.225560942397454
Portland,0.2620855713014731,0.6125883409234332,35.574527044294996,33.04480492004049
Portland St.,0.5260430756920064,1.0024212862575657,37.846677341707355,42.920569131133554
Prairie View A&M,0.4217597419375821,1.0195611085748653,44.302881246490436,45.51039025205802
Presbyterian,0.725657981694953,-0.06422264633200907,40.28272591673059,37.503899144642176
Princeton,-0.5619047107862017,-0.8964252626074432,35.21182662125154,35.330621546034486
Providence,2.222026182286283,1.198319137899961,37.48418618377741,33.09279449137725
Purdue,0.4702533798617488,1.2561970641538835,28.744809853126835,28.20456109193842
Purdue Fort Wayne,1.4775296162819744,0.7154727935311078,30.91030239130084,29.452252253357994
