team,to_rate_off_gravity,to_rate_def_gravity,to_rate_off_avg,to_rate_def_avg
Richmond,0.9350595231805197,0.3814167537162206,13.637652823436506,16.677215283696132
Rider,0.1355975837335588,0.9552732183755425,15.648068491711056,14.623581005709994
Robert Morris,0.7838879712440489,0.4508818554868315,17.297531694006484,14.986740834798969
Rutgers,0.961940424359378,0.1484259490576302,14.31323246467335,15.848334234313969
SIU Edwardsville,0.8963515372849571,-0.006891296078488849,16.61440183215674,15.775932314259087
SMU,1.1410852348487732,0.7001739508796713,14.95031999799482,16.087696068556326
Sacramento St.,0.6419721510319969,0.5049820179762478,13.719761632177677,16.623991078060723
Sacred Heart,0.8743045873214794,1.016192799925109,16.832933667955537,13.405431440656717
Saint Francis,1.1716291734356175,0.6617222172184267,16.92312707555066,17.51155401898486
Saint Joseph's,0.02920619017916736,1.0124295821675502,15.842923838121433,14.211464732882328
Saint Louis,0.34797319941746535,0.7107112309173438,16.64844157201567,15.06941223286035
Saint Mary's,0.4133984064352935,0.8330186966372898,15.57264335876628,13.936934262759998
Saint Peter's,0.1751299271107397,0.8897930901601363,15.990547196204934,18.656676166994618
Sam Houston St.,-0.03153437335930362,0.16723556198572684,15.754681727653818,15.252734622703118
Samford,0.7641904102618323,0.9039670839128514,12.359837180627904,12.288382354259452
San Diego,0.7110061551493543,0.8171084437243848,16.62839973967857,18.202534123211542
San Diego St.,0.1938608333288293,0.9678225655641366,16.282147932435763,19.094990449880406
San Francisco,0.5961622752702223,1.0067343358558873,15.22926404638249,13.247570930130962
San Jose St.,0.9893586595059212,0.6116917617761185,14.059240947805627,16.59177796575266
Santa Clara,0.965494589460372,1.0155768335826272,14.428109048258369,19.48308720450376
Seattle,0.6750733360783603,0.8899875541154304,16.4294513548091,20.05771841198536
Seton Hall,0.4529622136159898,1.1763387485904606,15.533496261140131,20.089408668063367
Siena,0.7423499599405146,-0.20643821552032535,15.019787008318602,16.01920937751591
South Alabama,0.9503019973117108,0.273695092049479,12.40660011595342,16.275722594329405
South Carolina,0.7110837298891608,0.5748824332895995,13.61174348703292,14.12003387076667
South Carolina St.,1.0783943631052635,0.18035357018863066,19.41005478180113,17.328799543044152
South Dakota,-0.013182616531938154,0.6207376126464371,15.78363630742193,14.910267103409108
