team,efficiency_off_gravity,efficiency_def_gravity,efficiency_off_avg,efficiency_def_avg
Massachusetts,-0.8667622490498212,1.4064497304110248,108.7861782397486,108.29768642921042
McNeese St.,0.8468777441354577,0.597057836210002,114.81700462823935,99.87767982791102
Memphis,0.13001076327420247,2.030137017491138,103.95233706350128,105.38873656516789
Mercer,0.3275721312199372,1.6117229789710237,114.45431268520986,110.91896537725309
Mercyhurst,2.107866688045633,-0.6799322655042774,103.78743217585269,103.53788280544796
Merrimack,2.1710395419550954,-0.1915986447827401,106.40519461755842,103.67152009815274
Miami FL,1.305748063704381,1.4495435219381636,117.11664146103736,101.99344433070044
Miami OH,0.6928826023773746,0.31051153565052014,119.93068462597567,103.5133303650439
Michigan,1.4960535937607402,1.6806740718226645,121.24519315564943,95.29332055276812
Michigan St.,1.5667302881582288,2.111166689093464,116.72255676299996,100.3534011359962
Middle Tennessee,-0.6686319577055251,-0.09257693053299387,107.6622231482693,108.63934696058709
Milwaukee,3.319075464660338,0.9301130127867567,107.24879418145159,115.43370058312522
Minnesota,1.8872922907528886,3.635043537262933,110.43680449305849,106.11326082244156
Mississippi,3.369945590124345,-5.208930767424172,108.29865293040483,108.74169231430614
Mississippi St.,-2.8029700560809494,-0.5246615737654321,107.02682340886481,112.54107686294452
Mississippi Valley St.,1.2651953586777993,1.5836466784298742,90.13735330889794,119.27414339713309
Missouri,1.432063500574877,-3.4073785461318407,114.43287578205201,109.1404519000884
Missouri St.,0.7668631202356188,1.9460385636357205,106.75961612464144,109.37395269581323
Monmouth,1.1623787326088166,0.2649072021973129,105.7255493440346,103.97274746987017
Montana,2.0689977838644964,0.11715340666627239,106.90660729116169,108.19550250064215
Montana St.,0.33852766970506576,0.5495598471925353,111.4569727587705,107.26083018886297
Morehead St.,2.683956932496617,3.8073810117043343,107.3080446770036,110.13566706077332
Morgan St.,1.4489595233682306,2.7847493193714965,99.3603575333629,112.94263186866769
Mount St. Mary's,1.405947054083292,-0.48235179341141227,99.87972390474668,103.98357632800936
Murray St.,1.0411096378402307,1.0844668406959144,115.44660267095105,109.46963812357335
N.C. State,1.5285030748027968,-3.3619479942739128,118.24904250138987,108.25646973381978
NJIT,1.3337832107946654,-2.6018487195857944,97.25630493665375,107.92020238396424
Navy,-0.16133753741802812,0.355949251676263,112.94025659536436,97.67437092861047
Nebraska,1.5597647062135547,1.4904873876598999,115.06835269175711,96.11690584296242
Nebraska Omaha,2.779208646039696,1.5231475089954443,106.55910065753721,111.49887481954742
Nevada,1.646672153825091,2.6247725116947356,112.34085269211573,106.53278986296935
New Hampshire,1.2210506576443765,3.1551273958360886,95.848688225774,110.4738371577301
New Haven,1.2563305028287979,-1.6504715222906998,97.3969452079803,105.56448877054787
New Mexico,1.373956559393442,1.421925608013091,114.67786567466396,102.39380096105687
New Mexico St.,0.6507936902099961,1.8203424678464692,108.58949144699679,109.04256684880065
New Orleans,0.8253947472353713,2.4946388766045176,105.8738763419027,109.60087915596934
Niagara,1.4331825374155425,2.604138403066352,100.54318812089608,111.72524271858774
Nicholls St.,1.1536945144010213,2.1462683773980458,103.80167595319125,110.50656410760715
Norfolk St.,1.7697743878691392,-5.430332565393014,102.6786175648979,107.75352894657415
North Alabama,1.8255676832041452,1.1894440321908162,101.8081303815211,117.12579163272264
North Carolina,1.8616366533528819,1.9726638086761923,114.66892699994945,101.88049745216696
North Carolina A&T,2.3139869440134984,1.7027553584277704,106.49610207192167,112.08662343496016
North Carolina Central,1.3359130825128946,1.83648663290706,100.61903112360393,115.77422249926393
North Dakota,2.4629932101143224,1.3324044933556622,106.33909510104097,114.31066016487667
North Dakota St.,0.3268688929530596,0.2678677296610686,113.6847441125073,102.40574058980201
North Florida,1.6559376472300011,1.0957762720362707,105.524020208782,123.25800210377923
North Texas,0.8731055754087383,0.9876748926273928,103.39197557621532,100.56003210063955
Northeastern,1.2169920714547058,1.202981949712591,106.23599706083283,116.5897199356883
Northern Arizona,1.479042411064658,1.0709128079481518,104.44123175689968,117.77180128620174
Northern Colorado,0.42609444264177865,1.6757622144898068,112.4980078095183,109.26037071340123
Northern Illinois,1.123665649410773,1.1792611245572748,95.58913954224825,115.39959506116045
Northern Iowa,0.6690005396931772,0.9945529010207108,108.05292170485424,96.80326762389119
Northern Kentucky,-0.12105202405522146,0.9414808926244167,112.61100932506704,110.44409377138491
Northwestern,2.6152918780549963,-5.4256701923523245,110.71191379325926,108.54268920882534
Northwestern St.,1.13376759107007,2.1286886628615744,101.11842216592004,111.14143183674128
Notre Dame,4.807004751865522,-1.5368345725263535,108.93103411076567,110.00605833756497
Oakland,0.8015466841483976,0.8540416304521504,113.23947057199581,114.99579178769885
Ohio,0.6976534233484097,1.1978461879242033,107.54619556076739,111.59858164633705
Ohio St.,1.494632662867897,5.0103605425549,118.44693148058437,107.71909745450118
Oklahoma,1.2721793087167446,-0.7437832469822219,118.94130271483294,110.9850769721435
Oklahoma St.,3.2904498020153254,-1.5913658080047246,110.26803551610575,109.94059707970992
Old Dominion,1.7257864433094572,1.6848236483992896,105.89408072687479,111.01406024954157
Oral Roberts,1.3928398000653444,1.1210023366297586,102.06513037096182,113.90544265772343
Oregon,-0.7356912274896852,-1.0165253665388148,104.87467039027761,111.42995071564934
Oregon St.,-0.6446380670785092,0.6901645325406313,106.17407617898068,110.51554516303226
Pacific,0.25159997012557056,1.077096598216514,107.97218206396485,104.71584242175842
Penn,0.3031690496924595,0.663644430742912,107.63374693451208,105.23721583899683
Penn St.,3.178428803625878,0.4273968731923912,109.3689718387988,118.41657883885415
Pepperdine,0.6540056690686568,0.8576034936440031,99.6512143261179,112.8721205873911
Pittsburgh,-1.8026740114456217,-3.0294494729226185,106.30660409698245,109.08277638459529
Portland,0.6037337873802602,0.3399913646054935,101.74317516873381,110.45168214313034
Portland St.,1.8977560411225176,0.8538541619412121,104.41133248770686,101.84781784116683
Prairie View A&M,2.1622110235219902,7.122117016456654,102.81222888163643,108.78862187460086
Presbyterian,1.578865543205131,0.6920466863379248,104.56036646064419,108.1360407205988
Princeton,1.1294568317233251,1.1092652673941412,104.24546291994125,110.13754778384387
Providence,1.7409111834364415,0.10659292832994621,114.90893550344931,111.76648871370516
Purdue,1.3571162745999221,6.677665337240784,123.78734013965904,106.95252210427269
Purdue Fort Wayne,3.5622867314199773,1.0257361144611377,107.0771931827762,114.05682496888932
Queens,0.5259317940268043,1.2362193506868338,118.71308873008365,115.68932595971508
Quinnipiac,1.8923220780751666,-0.22755946676235111,105.26977588475889,103.2262614343118
Radford,2.5844506260601325,3.461427689902046,107.5283931772523,108.9975177206917
Rhode Island,0.7055345203732928,1.0000233878561033,104.69833944935277,102.43496383374857
Rice,0.6769900358403751,1.1755237832065577,104.91697905012325,111.45525482639955
Richmond,1.169850852997315,-0.005702079902620294,110.98962910414026,108.15341948471323
Rider,1.1296746621204208,1.494825542790766,94.56781977606433,116.70704934048244
Robert Morris,0.27822169552137965,1.656304172211872,114.48547391014496,108.8348753780659
Rutgers,-0.4094865282457927,-0.43853941541705127,104.70985322122307,111.28937947122198
SIU Edwardsville,1.7562283207601472,0.12205253690358996,101.76511651426961,98.824399749257
SMU,1.51492331016721,3.420229361658487,117.8265658893344,107.84685785389286
Sacramento St.,1.1494516471684555,1.0443795340734414,104.62503714443233,113.88992764759546
Sacred Heart,3.408935922722616,2.352326743455741,107.34652804004081,112.94634874776382
Saint Francis,1.2460892679073596,1.4743490372632004,99.45855204536217,118.33989541788212
Saint Joseph's,0.5250600041789448,0.8649646673795501,105.28085886334551,101.5152616400074
Saint Louis,1.1123131116579685,0.9259518551565744,120.35793349500287,98.18801124294076
Saint Mary's,1.3643065750067551,1.2052415209169574,117.99786759010367,96.848177952575
Saint Peter's,2.2903879248579515,-0.9647773611658093,105.5617969652326,104.92161354596877
Sam Houston St.,0.8972759966790113,0.1762776241384169,112.72125383887645,107.37399851573116
Samford,-0.2887163386208222,1.697754514906608,111.89169745691242,111.21596699691354
San Diego,0.44412491203405297,1.0794154854483773,104.39429739591456,112.98735603974274
San Diego St.,2.3287987816821984,1.7534562190952676,110.33468125740052,101.55654422994041
San Francisco,2.619540013344385,0.5118747644996754,109.30506987353084,107.93201600287922
San Jose St.,-0.8948419894487053,0.7213171440748194,106.48750041268963,120.26050755055908
Santa Clara,1.4931061138002284,2.0653564825042467,116.73683509710662,106.07970404579378
Seattle,0.8574949158828571,1.1312255313797657,100.71552125381217,98.1083101875053
Seton Hall,-0.4270444535811726,1.3582465089118885,105.4182705501812,98.3722706910243
Siena,-1.2158683965650485,-0.17881266276236235,109.6108941049363,101.67356305275904
South Alabama,-1.8607500917557225,-0.38385229227291384,108.84060805093199,104.90851248388522
South Carolina,3.310704704283468,-2.260801653136232,108.61629298146616,109.89307465713209
South Carolina St.,1.2946201262186319,1.8222134757438169,95.86433950486766,115.93288123986973
South Dakota,3.070262405611991,1.6386504975717286,106.53636143333713,113.2414829281859
South Dakota St.,-0.7343740493757752,2.3997992300418374,108.12455161647954,109.33907037856984
South Florida,1.2230831056956104,1.2324418159518318,115.11589728092217,101.62678269442317
Southeast Missouri St.,1.9971903928295383,-0.6891856506690636,105.30849480518009,104.46641982382847
Southeastern Louisiana,1.1349990784930946,3.528274576645872,98.4863965371733,108.97847942465562
Southern,2.116493270722521,2.482934345681719,104.98707098228849,111.59103333538194
Southern Illinois,0.8016607350257254,0.9640424333061088,102.33401933150711,98.50469327773506
Southern Indiana,1.3376349491114785,-5.508018210414701,96.15352257132758,107.48943133300155
Southern Miss,1.7486255419932177,-1.4395997582400142,105.88783390826691,106.93521286672578
Southern Utah,0.7213704821965298,1.3947485848415566,101.45217328857925,113.71224787227403
St. Bonaventure,1.6563476403984503,0.8965341246190291,110.62593177433902,110.77629724583498
St. John's,1.9973636498169733,1.4922199278924588,113.1496242403095,97.89844757520855
St. Thomas,0.577124176989695,0.22862267798338962,117.69080114397063,104.257516265225
Stanford,2.5252769129253814,3.4858042816227774,111.47439670389616,106.7011801690929
Stephen F. Austin,0.45701566022057405,0.41987515927553093,112.13184015625906,98.39637992481488
Stetson,3.09264279263495,1.2382354262170194,106.37859231150438,116.70717565892656
Stonehill,1.3427028386392383,-0.42120459145963934,94.81415387214612,102.8644063458714
Stony Brook,1.1066819607807843,-1.9569963644724757,103.3350079018014,107.23090157429719
Syracuse,-5.020647036437041,4.249858529278173,107.35350357396271,107.1646042350757
TCU,3.3214541980185373,1.5849804039030384,109.62137753122282,100.62643634170445
Tarleton St.,0.8966373865934715,-1.484457047029157,100.14373027024797,107.82802381698339
Temple,1.2511423143629279,-0.9999381677414475,111.15042946304935,107.1834269801005
Tennessee,1.4844541164710794,2.086029006163362,116.86325077197658,100.69723700163911
Tennessee Martin,1.5711253537194438,0.2571375760695862,102.91977336282194,97.75508057476554
Tennessee St.,-1.0864479668606344,-0.41221013248015925,109.11486181183096,103.16943991795318
Tennessee Tech,1.4204729308568467,3.5247563849427617,102.97270803706954,110.59824892470192
Texas,1.316545553874995,-1.556162785370121,120.14136768878116,110.45680292138339
