team,tempo_gravity,avg_pace,efficiency_off_gravity,efficiency_def_gravity,efg_off_gravity,efg_def_gravity,three_pt_rate_off_gravity,three_pt_rate_def_gravity,ft_rate_off_gravity,ft_rate_def_gravity,to_rate_off_gravity,to_rate_def_gravity,orb_rate_off_gravity,orb_rate_def_gravity
Cincinnati,-0.4975476066751666,69.54875,-1.1061254541973828,1.4443476344943496,-0.7004043162935258,1.3603797404818174,0.9741991355799551,0.7813882456949349,0.7182674642852922,0.9979857661083833,-0.047960441234580424,1.226474817574041,2.1090689812515437,1.5181378324092651
Clemson,1.1139926087261869,65.94387096774193,1.8526916847771195,1.5786617573757422,1.566930763299578,1.367817310457185,0.7744932486933161,0.5149318065769285,2.1387138299389647,1.142589888064368,0.9122438947470447,1.079055075611847,0.4193036975934022,1.360789090198286
Cleveland St.,0.6895943988976667,71.92266666666667,-0.7626255039288109,1.043884709535562,0.3980215160573417,1.0383501383414835,1.0758493186525944,0.9260647919019345,0.42824709218120005,1.0402912356233802,0.7085438137545252,0.639734316217162,1.2594456618693084,1.055218629158706
Coastal Carolina,0.6777830834026068,69.94451612903227,1.4813927098379331,-0.04779289665744745,1.0960137304318105,0.6825008536690252,0.7105241379624736,1.1295812389898312,2.098319705006907,1.0369449521119305,0.5732249966144998,0.917155942807771,1.1784336242358817,0.4102096989615249
Colgate,-1.7772801437157366,69.02967741935484,-0.5027504230049368,2.296749002907644,0.3113862001518032,0.7796514189805036,0.7399568488116539,-0.20054080915874617,0.8221126181940221,-0.7532228939301151,0.5499373202892676,0.9340677847643559,1.031326536310455,-0.17124695218182948
Colorado,0.7175351608832423,71.06375,1.9672089629564737,-0.485807658689773,1.7777133283082176,0.010263758345129421,0.8954514212527751,1.05692710839404,2.594283526390438,0.5005863902551582,0.9828388536664752,0.5225259321410011,-0.5759945812641986,2.2139602872795807
Colorado St.,1.0564545955053117,63.88333333333333,1.1358623812568933,0.3015208057483826,1.0031924934766883,0.5199082432906783,0.8818479909323345,0.906455624290493,0.8943462656308062,1.7739793396257841,0.8028841823347425,0.7454511702156604,-0.5055172678937255,-0.2534909445370559
Columbia,0.21763053007902483,68.52,-0.8370164114842746,1.3810944024637821,0.7107776133614333,0.23977433345903063,0.7257332230871906,1.594647710875317,0.8619632062189958,-0.27719960426705953,1.2998246268314622,1.0563533452966793,0.9843832119155179,0.35939518890795424
Connecticut,1.2224771567899775,67.29806451612905,1.6850013997209314,1.412057668869582,1.4123545105077853,1.159353447556229,2.6859246398038628,1.1404111486343211,0.07653482109169363,0.7719015773244496,0.6669092125874841,1.3288992404443503,1.3677007097686211,1.9127978306656752
Coppin St.,1.8416593123289138,69.57133333333333,1.2069655676822832,1.7618295306335112,1.2294668209644866,1.638668443866976,1.3211848585466581,1.8051989402274924,0.2855270325555226,0.9386800572248537,0.9643617879698122,-0.02569635749264754,2.4630398240465055,1.1836060189600575
Cornell,1.2885330216284805,72.8176,0.9563304527117349,1.3188548997753478,0.9863118896814433,1.0272836037385413,1.0247586511876088,1.5544602640628569,0.659904618855374,1.4503783864021165,-0.22021888168248532,1.0750499200206023,-0.2495276766200894,-0.25298619845712955
Creighton,1.752354781367243,68.9574193548387,3.4789197733469357,-3.389899477179458,1.6623301602957197,0.8057886607460994,1.1450959885211498,1.017762976623837,0.7678525461221252,1.0549437175158634,1.765043961344334,0.5905273077242718,0.6393701434126925,1.5601952658548852
Dartmouth,2.960978883790871,69.76,1.347658510988467,1.2139714331127254,0.008545499878462879,0.5415534536720481,1.1107378645803534,1.9377092793152606,1.0587663650359829,0.5640413472573177,1.2194450352078219,1.104576036019293,0.9238929194061846,0.670465709430683
Davidson,0.8483197501373733,64.80758620689656,2.7204784251945795,1.2818443304290486,1.4620289988387443,1.1026409750583508,0.8757531111423947,1.4165417817591708,0.5250226713365667,0.37161211477083717,0.27210502558952676,0.6684972468830036,-0.21022811752671927,0.2918500694507582
Dayton,0.5126650226547599,69.01161290322581,1.767287337502482,1.2807341446715184,1.352639741498334,1.4389446349921118,0.6633772358911013,-0.6923106027062524,1.1696149565247804,-0.014154751990393063,0.6620979997655833,0.978511330773803,0.7679060026885667,1.3687243527882722
DePaul,1.5011337935769038,68.08387096774193,0.13781975993351925,1.4340824646821426,0.24543097862432842,0.9910349086305339,-0.7512803920768034,0.8861793901927765,1.73766534589923,0.8067578256434323,0.4064650499118548,1.315182252635433,-0.0386345329008178,1.147056768778774
Delaware,1.0043609314455038,65.218,1.1990825804244962,1.4965662027880473,0.7554840297851123,0.3854535565733439,0.8385268055623518,1.2047462320074054,1.5233429358117216,0.8973450144277024,0.6541176934062136,0.8606799557892125,0.98120397181413,0.7302690344875489
Delaware St.,0.7827665725187514,66.3408,1.2476698308306329,6.665283849700325,1.185744810390888,1.9945413717690303,1.1535178651599047,0.1363730471058826,3.075415487316686,0.9698106262743835,0.8685753699866222,0.5585879253246777,1.717816810380476,1.5555678875936605
Denver,0.33062640663561726,69.7551724137931,0.7619203758448039,1.099631116901327,0.423145745590333,1.0274128122312496,0.9090654650498248,1.5229060840016577,0.5623208358992785,1.0399099388027402,0.9063167513755183,0.8861951471393279,-0.01444811740547192,1.7827690936875158
Detroit Mercy,1.0868342567719647,70.22600000000001,-2.1979754595948218,1.148533083004328,1.8061462238975956,0.3959416422037905,0.9323652869342954,0.7218389896757156,1.4504395333463056,2.0831881255639586,0.45754190790817373,0.8366331357161163,0.5331847404712786,1.2760984624483238
Drake,0.8962616425927032,68.625625,-1.417752720817356,1.144880895086639,0.027314403064430063,0.4305242673152763,0.9216323558708214,1.2463768820558485,-0.04460902876168979,0.690115225471627,1.0289500616859903,0.8541716261880318,0.9704430688703204,1.3536124514160508
Drexel,0.9735295299763659,65.49375,1.2649319509266792,0.37708603306719307,0.552654817444166,0.7039889615410665,1.3880456680836692,0.8291443353003455,1.2265698072660645,0.0063837030102501064,1.0244259789700854,0.6329038279517782,-0.16926481866076537,-0.1086925685075896
Duke,1.3335880973190999,67.74774193548386,1.4400309053598932,1.4418710605948037,1.4003538181062647,1.4513391206787671,0.9389037320405755,0.6399659578299149,2.076247132603709,1.0159788860655277,0.5699069772242136,1.275900580037113,1.3669983123163514,1.3794264405157484
Duquesne,1.278096074447742,71.16689655172414,0.5589109201514226,-0.39189959042580924,0.8171803819548672,0.19525554776752815,0.8867712291748546,-1.5528221674308,1.1784430470441294,0.8062281923314509,0.688769822935295,0.8692088370568565,-0.18294571798694828,0.6526337129729247
East Carolina,1.0814986748077584,70.84733333333334,0.86800259019647,0.7348527056087906,0.8643360448676424,1.1797804911317233,0.9921468284703832,-0.01793225150621082,1.1750343979543447,1.4113475016704349,0.2511202730093323,-0.2119684367888019,1.3603005074651653,0.31318263116689365
East Tennessee St.,0.79722243140448,67.20375,0.3081445725126363,0.16393217586901326,0.41445982599376047,-0.5942064228331461,1.5653450575112795,0.6420250133787186,1.3338383334053159,0.3024233669737714,0.2190295994693443,1.1088170506981418,1.3819310638033373,0.17082641782367766
East Texas A&M,-0.5070381880379573,68.69133333333335,1.0902548372982552,2.0614971123013057,1.2597636692257532,1.7508625939047857,0.9758418640926945,0.9332637629392141,2.2080644523311066,-0.7905676504836446,0.5835645043010617,0.19386005325559685,1.0162250409156246,0.8058522281401066
Eastern Illinois,0.738879688081955,67.07733333333333,1.1437384308923657,-4.092429352249989,1.0111300213232053,-0.9048796747308759,0.9632870101648388,1.4570841099487415,1.6274780612277209,-0.1365377602440587,0.42372100436527577,0.7751465655359956,1.2378503535146175,0.7793292285163411
Eastern Kentucky,0.1972640402991544,69.926,-0.10417730356580222,1.1537127335798991,-0.6837291013476917,1.0307118441633913,0.9479999030903705,0.2866744005205065,1.2027201868955586,1.2626323374527608,-0.035563367793392406,0.7781746298553838,0.7868314602628464,1.822535826850541
Eastern Michigan,2.6884226784088527,69.12666666666668,1.1719509181720726,0.015802431281486812,1.3009059257246383,0.8770027575077817,1.131963890779193,1.0125781177122146,1.0580849474821639,0.49455512253070977,0.6748356297346056,0.8396511114121357,1.150556183172512,0.4430450864626439
Eastern Washington,0.2502432094747796,69.56129032258065,0.7479397111044858,1.1357840442636584,0.7652275374982556,0.9338857910065993,0.7294973578381907,0.8669752485363452,-0.020974975860295505,1.5263310516391346,1.0540350011623107,0.11295832941957258,0.17366422191410533,1.5459799683101543
Elon,1.0120441272282834,69.58533333333334,0.5322247620249079,1.27675418953031,0.28572803649887973,1.0971648368657332,0.8780803356514968,0.9721295129697233,0.4093785060084999,1.9326363815628533,-0.1359839068449219,-0.003715586328750701,1.008216402779853,0.976612700430549
Evansville,0.6975072031650018,68.06733333333334,0.7001169062660771,0.8494773554413386,0.3833130869403963,0.6805743399589039,0.8374735817560827,0.8136608025089057,0.6824608479380706,0.9003593894093294,0.8739331910816812,0.5435038056086424,0.888218977673056,1.273438530530641
FIU,1.2198978184702762,73.18896551724139,0.7515211841484023,-0.03340747061514283,0.4425186371751139,0.8205985660356276,1.1177498562337167,1.0468548305394287,0.24615623910650664,0.9468559867185504,1.057575959760278,1.1059144752392436,1.2524430277974945,1.005036061510775
Fairfield,0.09377400454803438,67.93272727272728,3.857701739040253,-3.3903933313413805,1.2602924850483865,-1.7382825989497421,0.9030858184686618,0.7968722809788432,1.0167177140089114,0.40420327881143736,0.6646280228130322,0.021028619092837795,0.5918502381748698,-0.49504406179398536
